,note_name,octave,start_time
0,F,2,4.0
1,F,3,4.01
2,G,2,6.031
3,G,3,6.042
4,A,2,6.979
5,A,3,6.99
6,A,2,7.969
7,A,3,7.979
8,A,2,8.0
9,A,3,8.0
10,G,2,8.953
11,G,3,8.964
12,F,2,9.938
13,F,3,9.948
14,E,2,10.958
15,E,3,10.969
16,D,2,11.964
17,D,3,11.974
18,E,2,12.0
19,D,2,12.0
20,E,3,12.0
21,D,3,12.0
22,E,2,13.99
23,E,3,14.0
24,F,2,14.99
25,F,3,15.0
26,F,2,15.979
27,F,3,15.99
28,F,2,16.0
29,F,3,16.0
30,E,2,17.49
31,E,3,17.5
32,E,2,17.979
33,E,3,17.99
34,F,2,20.005
35,F,3,20.016
36,G,2,21.953
37,G,3,21.964
38,A,2,22.953
39,A,3,22.964
40,A,2,23.969
41,A,3,23.979
42,A,2,24.0
43,A,3,24.0
44,G,2,24.958
45,G,3,24.969
46,F,2,25.932
47,F,3,25.943
48,E,2,26.984
49,E,3,26.995
50,D,2,27.969
51,D,3,27.979
52,D,2,28.0
53,D,3,28.0
54,E,2,30.0
55,E,3,30.01
56,F,2,31.005
57,F,3,31.016
58,E,2,31.969
59,E,3,31.979
60,E,2,32.0
61,E,3,32.0
62,D,2,33.49
63,D,3,33.5
64,D,2,34.005
65,D,3,34.016
66,E,2,36.0
67,E,3,36.01
68,F,2,37.927
69,F,3,37.938
70,D,2,38.948
71,D,3,38.958
72,E,2,39.964
73,E,3,39.974
74,E,2,40.0
75,E,3,40.0
76,F,2,40.938
77,F,3,40.948
78,G,2,41.417
79,G,3,41.427
80,F,2,41.958
81,F,3,41.969
82,D,2,42.927
83,D,3,42.938
84,E,2,43.943
85,E,3,43.953
86,E,2,44.0
87,E,3,44.0
88,F,2,44.984
89,F,3,44.995
90,G,2,45.474
91,G,3,45.484
92,F,2,45.99
93,F,3,46.0
94,E,2,46.969
95,E,3,46.979
96,D,2,47.99
97,E,2,48.0
98,D,2,48.0
99,D,3,48.0
100,E,3,48.0
101,E,2,48.969
102,E,3,48.979
103,A,1,49.995
104,A,2,50.005
105,F,2,51.026
106,F,3,51.036
107,F,2,52.0
108,F,3,52.0
109,F,2,53.016
110,F,3,53.026
111,G,2,53.995
112,G,3,54.005
113,A,2,54.948
114,A,3,54.958
115,A,2,55.938
116,A,3,55.948
117,A,2,56.0
118,A,3,56.0
119,G,2,56.927
120,G,3,56.938
121,F,2,57.917
122,F,3,57.927
123,E,2,58.927
124,E,3,58.938
125,D,2,59.969
126,D,3,59.979
127,E,2,60.0
128,D,2,60.0
129,E,3,60.0
130,D,3,60.0
131,E,2,61.969
132,E,3,61.979
133,F,2,63.0
134,F,3,63.01
135,E,2,63.99
136,E,2,64.0
137,E,3,64.0
138,D,2,65.479
139,D,3,65.49
140,D,2,66.0
141,D,3,66.01
142,E,2,68.005
143,E,3,68.016
144,F,2,69.948
145,F,3,69.958
146,D,2,70.953
147,D,3,70.964
148,E,2,71.938
149,E,3,71.948
150,E,2,72.0
151,E,3,72.0
152,F,2,72.938
153,F,3,72.948
154,G,2,73.443
155,G,3,73.453
156,F,2,73.958
157,F,3,73.969
158,D,2,74.927
159,D,3,74.938
160,E,2,75.938
161,E,3,75.948
162,E,2,76.0
163,E,3,76.0
164,F,2,76.943
165,F,3,76.953
166,G,2,77.474
167,G,3,77.484
168,F,2,78.005
169,F,3,78.016
170,E,2,78.953
171,E,3,78.964
172,D,2,79.953
173,D,3,79.964
174,E,2,80.0
175,D,2,80.0
176,E,3,80.0
177,D,3,80.0
178,E,2,80.958
179,E,3,80.969
180,A,1,81.979
181,A,2,81.99
182,F,2,82.938
183,F,3,82.948
184,F,2,84.0
185,F,3,84.0
186,F,2,85.0
187,F,3,85.01
188,G,2,85.99
189,G,3,86.0
190,A,2,86.953
191,A,3,86.964
192,A,2,87.958
193,A,3,87.969
194,A,2,88.0
195,A,3,88.0
196,G,2,88.969
197,G,3,88.979
198,F,2,89.99
199,F,3,90.0
200,E,2,90.964
201,E,3,90.974
202,D,2,91.969
203,D,3,91.979
204,D,2,92.0
205,D,3,92.0
206,E,2,93.932
207,E,3,93.943
208,F,2,94.969
209,F,3,94.979
210,E,2,95.984
211,E,3,95.995
212,E,2,96.0
213,E,3,96.0
214,D,2,97.495
215,D,3,97.5
216,D,2,98.0
217,D,3,98.01
218,A,2,99.005
219,A,3,99.016
220,F,4,99.979
221,F,4,100.0
222,A,2,100.0
223,A,3,100.0
224,D,2,101.953
225,G,4,102.021
226,F,4,102.99
227,A,4,103.005
228,B,1,103.979
229,D,4,103.995
230,D,2,104.0
231,B,1,104.0
232,D,4,104.0
233,A,4,104.005
234,G,4,104.979
235,C,2,105.438
236,E,4,105.505
237,D,2,105.969
238,F,4,105.979
239,F,4,106.01
240,E,4,106.958
241,G,2,106.99
242,B,3,107.0
243,D,4,108.0
244,G,2,108.0
245,B,3,108.0
246,F,2,108.958
247,A,3,109.016
248,E,2,109.969
249,G,3,110.0
250,E,4,110.031
251,D,2,110.938
252,F,3,111.0
253,F,4,111.016
254,D,2,112.0
255,F,3,112.0
256,F,4,112.026
257,C,2,112.99
258,E,4,113.005
259,A,3,113.005
260,B,1,114.005
261,D,4,114.021
262,E,4,114.031
263,C,4,115.01
264,A,1,115.016
265,A,2,115.969
266,E,4,116.0
267,A,2,116.0
268,C,4,116.0
269,F,4,116.078
270,D,4,117.026
271,G,4,118.005
272,D,2,118.016
273,A,4,119.0
274,E,4,119.016
275,F,4,119.505
276,B,1,119.984
277,A,4,119.995
278,A,4,120.0
279,B,1,120.0
280,D,4,120.005
281,G,4,120.969
282,C,2,121.469
283,E,4,121.495
284,D,2,121.964
285,F,4,121.979
286,F,4,121.995
287,E,4,122.958
288,G,2,122.964
289,B,3,122.99
290,D,4,123.99
291,D,4,124.0
292,G,2,124.0
293,B,3,124.0
294,F,2,124.943
295,A,3,125.01
296,E,2,125.495
297,G,3,125.505
298,E,4,125.99
299,F,3,125.995
300,D,2,126.0
301,E,4,126.495
302,C,2,126.505
303,B,1,126.979
304,F,4,126.995
305,D,4,126.995
306,A,1,127.484
307,C,4,127.49
308,E,4,127.958
309,G,1,127.984
310,B,3,127.995
311,E,4,128.0
312,G,1,128.0
313,C,4,128.0
314,B,3,128.0
315,A,1,128.953
316,C,4,129.0
317,D,4,129.531
318,F,1,129.969
319,D,4,129.99
320,D,4,130.031
321,F,2,130.958
322,G,2,131.99
323,F,2,132.0
324,G,2,132.0
325,E,4,132.005
326,F,4,133.979
327,A,2,134.052
328,D,4,135.016
329,B,2,135.042
330,C,2,135.99
331,D,4,136.0
332,C,2,136.0
333,A,3,136.0
334,E,4,136.036
335,F,4,136.995
336,G,4,137.474
337,D,2,137.964
338,F,4,137.99
339,D,4,138.99
340,G,3,139.0
341,E,2,139.01
342,A,3,139.5
343,F,2,139.516
344,D,4,140.0
345,G,2,140.0
346,A,3,140.0
347,B,3,140.01
348,E,4,140.031
349,F,4,141.01
350,G,4,141.49
351,A,2,141.995
352,C,4,142.01
353,F,4,142.016
354,B,2,142.964
355,E,4,142.969
356,B,2,143.953
357,D,4,143.995
358,E,4,144.0
359,D,4,144.0
360,B,2,144.0
361,C,4,144.0
362,D,4,144.01
363,E,4,145.01
364,E,4,145.016
365,C,3,145.016
366,A,3,146.031
367,D,3,147.021
368,D,4,147.021
369,F,4,147.031
370,F,4,148.0
371,D,3,148.0
372,D,4,148.0
373,A,2,148.026
374,A,3,148.51
375,D,4,149.016
376,F,4,149.089
377,C,2,149.969
378,G,4,150.005
379,E,4,150.495
380,A,4,150.99
381,F,4,151.0
382,A,4,151.958
383,B,1,151.958
384,A,4,152.0
385,B,1,152.0
386,F,4,152.0
387,D,4,152.505
388,G,4,152.953
389,E,4,153.016
390,C,2,153.495
391,F,4,153.99
392,D,2,154.0
393,F,4,154.01
394,E,4,154.964
395,G,2,154.969
396,B,3,155.005
397,D,4,155.984
398,D,4,156.0
399,G,2,156.0
400,B,3,156.0
401,F,2,156.958
402,A,3,156.995
403,G,3,157.495
404,E,2,157.505
405,F,3,157.995
406,E,4,158.0
407,D,2,158.01
408,E,4,158.5
409,C,2,158.51
410,F,4,158.99
411,D,4,158.995
412,B,1,159.0
413,C,4,159.495
414,A,1,159.51
415,E,4,159.953
416,B,3,159.99
417,E,4,160.0
418,A,1,160.0
419,C,4,160.0
420,B,3,160.0
421,G,1,160.021
422,A,1,160.969
423,C,4,160.99
424,D,4,161.469
425,F,1,161.974
426,D,4,161.99
427,D,4,161.995
428,F,2,162.922
429,G,2,163.932
430,E,4,164.0
431,G,2,164.0
432,F,4,165.938
433,A,2,165.979
434,D,4,166.99
435,B,2,167.016
436,C,2,167.958
437,E,4,167.979
438,A,3,167.995
439,D,4,168.0
440,E,4,168.0
441,C,2,168.0
442,A,3,168.0
443,F,4,168.917
444,G,4,169.427
445,F,4,169.938
446,D,2,169.979
447,F,3,170.49
448,D,4,170.958
449,G,3,170.995
450,E,2,171.0
451,A,3,171.5
452,F,2,171.516
453,E,4,171.984
454,G,2,171.995
455,D,4,172.0
456,E,4,172.0
457,G,2,172.0
458,A,3,172.0
459,B,3,172.01
460,F,4,172.979
461,G,4,173.458
462,F,4,173.969
463,A,2,173.99
464,C,4,174.0
465,E,4,174.969
466,B,2,174.979
467,D,4,175.969
468,B,2,175.969
469,D,4,176.0
470,B,2,176.0
471,C,4,176.0
472,D,4,176.005
473,E,4,177.0
474,C,3,177.005
475,E,4,177.01
476,A,3,178.016
477,F,4,178.979
478,D,4,179.0
479,D,3,179.031
480,A,2,179.995
481,F,4,180.0
482,D,3,180.0
483,A,2,180.0
484,D,4,180.0
485,A,3,180.505
486,F,4,181.0
487,D,4,181.005
488,C,2,181.964
489,G,4,182.0
490,E,4,182.484
491,A,4,182.984
492,F,4,182.99
493,B,1,183.958
