,note_name,octave,start_time
0,C#,3,0.0
1,D,3,0.0
2,C#,3,1.0
3,C#,3,2.0
4,C#,3,3.0
5,C#,3,4.0
6,D,3,4.0
7,C#,3,5.0
8,C,3,6.0
9,C#,3,6.0
10,C#,3,7.0
11,C#,3,8.0
12,D,3,8.0
13,C#,3,9.0
14,C#,3,10.0
15,C,4,10.0
16,C#,4,10.0
17,E-,4,10.0
18,E,4,10.5
19,C#,3,11.0
20,E-,4,11.5
21,C,4,11.5
22,C#,4,11.5
23,C#,3,12.0
24,D,3,12.0
25,E-,4,12.0
26,C#,3,13.0
27,D,4,13.0
28,C#,3,14.0
29,C,4,14.0
30,C#,4,14.5
31,C#,3,15.0
32,C#,3,16.0
33,D,3,16.0
34,C#,3,17.0
35,C#,3,18.0
36,C,4,18.0
37,C#,4,18.0
38,E-,4,18.0
39,E,4,18.5
40,C#,3,19.0
41,E-,4,19.5
42,C,4,19.5
43,C#,4,19.5
44,C#,3,20.0
45,D,3,20.0
46,E-,4,20.0
47,C#,3,21.0
48,D,4,21.0
49,C#,3,22.0
50,E,4,22.0
51,E-,4,22.5
52,C#,3,23.0
53,C#,3,24.0
54,D,3,24.0
55,C#,3,25.0
56,C#,3,26.0
57,C,4,26.0
58,C#,4,26.0
59,E-,4,26.0
60,E,4,26.5
61,C#,3,27.0
62,E-,4,27.5
63,C,4,27.5
64,C#,4,27.5
65,C#,3,28.0
66,D,3,28.0
67,E-,4,28.0
68,C#,3,29.0
69,D,4,29.0
70,C#,3,30.0
71,E,4,30.0
72,E-,4,30.5
73,C#,3,31.0
74,C#,3,32.0
75,D,3,32.0
76,E,4,32.0
77,C,4,32.5
78,E-,4,32.5
79,E,4,32.5
80,C#,3,33.0
81,C,4,33.0
82,C#,4,33.0
83,E,4,33.0
84,C,4,33.5
85,C#,4,33.5
86,D,4,33.5
87,C#,3,34.0
88,C,4,34.0
89,C#,4,34.0
90,E,4,34.0
91,C,4,34.5
92,E-,4,34.5
93,E,4,34.5
94,C#,3,35.0
95,D,4,35.0
96,E-,4,35.0
97,E,4,35.0
98,C,4,35.5
99,E-,4,35.5
100,E,4,35.5
101,C#,3,36.0
102,D,3,36.0
103,C,4,36.0
104,C#,4,36.0
105,E,4,36.0
106,C,4,36.5
107,C#,4,36.5
108,D,4,36.5
109,C#,3,37.0
110,C,4,37.0
111,C#,4,37.0
112,E,4,37.0
113,C,4,37.5
114,E-,4,37.5
115,E,4,37.5
116,C#,3,38.0
117,D,4,38.0
118,E-,4,38.0
119,E,4,38.0
120,C,4,38.5
121,E-,4,38.5
122,E,4,38.5
123,C#,3,39.0
124,C,4,39.0
125,C#,4,39.0
126,E,4,39.0
127,C,4,39.5
128,C#,4,39.5
129,D,4,39.5
130,C#,3,40.0
131,D,3,40.0
132,C,4,40.0
133,C#,3,41.0
134,C,3,42.0
135,C#,3,42.0
136,C#,3,43.0
137,C#,3,44.0
138,D,3,44.0
139,C#,3,45.0
140,C#,3,46.0
141,E-,5,46.0
142,C#,3,47.0
143,E-,5,47.5
144,C#,3,48.0
145,D,3,48.0
146,E-,5,48.0
147,C#,3,49.0
148,D,5,49.0
149,C#,3,50.0
150,C,5,50.0
151,C#,3,51.0
152,C#,3,52.0
153,D,3,52.0
154,C#,3,53.0
155,C#,3,54.0
156,E-,5,54.0
157,C#,3,55.0
158,E-,5,55.5
159,C#,3,56.0
160,D,3,56.0
161,E-,5,56.0
162,C#,3,57.0
163,D,5,57.0
164,C#,3,58.0
165,E,5,58.0
166,C#,3,59.0
167,C#,3,60.0
168,D,3,60.0
169,C#,3,61.0
170,C#,3,62.0
171,E-,5,62.0
172,C#,3,63.0
173,E-,5,63.5
174,C#,3,64.0
175,D,3,64.0
176,E-,5,64.0
177,C#,3,65.0
178,D,5,65.0
179,C#,3,66.0
180,C,5,66.0
181,C#,3,67.0
182,C#,3,68.0
183,D,3,68.0
184,C,5,68.0
185,C#,3,69.0
186,C#,5,69.5
187,C#,3,70.0
188,C#,3,71.0
189,D,5,71.0
190,C#,3,72.0
191,D,3,72.0
192,D,5,72.0
193,E-,5,72.5
194,C#,3,73.0
195,C#,3,74.0
196,E,5,74.0
197,C#,3,75.0
198,E-,5,75.0
199,D,3,76.0
200,C#,3,76.0
201,E,5,76.0
202,C#,3,77.0
203,C#,3,78.0
204,C#,3,79.0
