,note_name,octave,start_time
0,E,4,0.0
1,C,4,0.5
2,E-,4,1.0
3,C#,4,1.5
4,D,4,2.0
5,D,4,2.5
6,C#,4,3.0
7,E-,4,3.5
8,C,4,4.0
9,E,4,4.5
10,C#,4,5.0
11,E-,4,5.5
12,D,4,6.0
13,D,4,6.5
14,E-,4,7.0
15,C#,4,7.5
16,E,4,8.0
17,C,4,8.5
18,E-,4,9.0
19,C#,4,9.5
20,D,4,10.0
21,D,4,10.5
22,C#,4,11.0
23,E-,4,11.5
24,C,4,12.0
25,E,4,12.5
26,C#,4,13.0
27,E-,4,13.5
28,D,4,14.0
29,D,4,14.5
30,E-,4,15.0
31,C#,4,15.5
32,E,4,16.0
33,C,4,16.5
34,C#,4,16.75
35,E-,4,17.0
36,D,4,17.5
37,E,4,17.75
38,E-,4,18.25
39,D,4,18.75
40,C#,4,19.25
41,E,4,20.0
42,C,4,20.5
43,C#,4,20.75
44,E-,4,21.0
45,D,4,21.5
46,E,4,21.75
47,E-,4,22.25
48,D,4,22.75
49,E,4,23.25
50,E,4,24.0
51,C,4,24.5
52,C#,4,24.75
53,E-,4,25.0
54,D,4,25.5
55,E,4,25.75
56,E-,4,26.25
57,D,4,26.75
58,C#,4,27.25
59,C,3,28.0
60,E,4,32.0
61,C,5,32.5
62,C#,5,32.75
63,E-,5,33.0
64,D,5,33.5
65,E,5,33.75
66,C,4,34.0
67,E-,5,34.25
68,D,5,34.75
69,C#,5,35.25
70,E,4,36.0
71,C,5,36.5
72,C#,5,36.75
73,E-,5,37.0
74,D,5,37.5
75,E,5,37.75
76,C,4,38.0
77,E-,5,38.25
78,D,5,38.75
79,E,5,39.25
80,E,4,40.0
81,C,5,40.5
82,C#,5,40.75
83,E-,5,41.0
84,D,5,41.5
85,E,5,41.75
86,C,4,42.0
87,E-,5,42.25
88,D,5,42.75
89,C#,5,43.25
90,E,4,44.0
91,C,5,44.5
92,C#,5,44.75
93,E-,5,45.0
94,D,5,45.5
95,C,5,45.75
96,C,4,46.0
97,D,5,46.25
98,C#,5,46.75
99,E-,5,47.25
