,note_name,octave,start_time
0,D,4,0.0
1,C,4,0.75
2,C#,4,1.5
3,D,4,2.0
4,E-,4,2.75
5,E,4,3.5
6,D,4,4.0
7,C,4,4.75
8,C#,4,5.5
9,D,4,6.0
10,E,4,6.5
11,E-,4,6.75
12,D,4,7.5
13,D,4,8.0
14,C,4,8.75
15,C#,4,9.5
16,D,4,10.0
17,E-,4,10.75
18,E,4,11.5
19,D,4,12.0
20,C,3,14.0
21,E,4,16.0
22,D,5,16.0
23,C,5,16.75
24,C#,5,17.5
25,D,5,18.0
26,E-,5,18.75
27,E,5,19.5
28,D,4,20.0
29,D,5,20.0
30,C,5,20.75
31,C#,5,21.5
32,D,5,22.0
33,E,5,22.5
34,E-,5,22.75
35,D,5,23.5
36,C,4,24.0
37,D,5,24.0
38,C,5,24.75
39,C#,5,25.5
40,D,5,26.0
41,E-,5,26.75
42,E,5,27.5
43,C#,4,28.0
44,E-,5,28.0
45,D,5,28.5
46,C,5,28.75
47,C#,4,29.5
48,D,5,29.5
49,E-,5,30.0
50,E,5,30.75
51,C#,4,31.0
52,E,5,31.5
53,E,4,32.0
54,D,5,32.0
55,C,5,32.75
56,E,4,33.5
57,C#,5,33.5
58,D,5,34.0
59,E-,5,34.75
60,E,4,35.0
61,D,5,35.5
62,D,4,36.0
63,C#,5,36.0
64,C,5,36.75
65,D,4,37.5
66,C#,5,37.5
67,D,5,38.0
68,D,4,38.5
69,C#,5,38.5
70,D,5,38.75
71,E,4,39.0
72,D,4,39.5
73,D,5,39.5
74,C,4,40.0
75,C#,5,40.0
76,C,5,40.75
77,C,4,41.5
78,C#,5,41.5
79,C,4,42.0
80,D,5,42.0
81,E-,5,42.75
82,E,5,43.5
83,C,4,44.0
84,E,5,44.0
85,D,5,44.75
86,D,4,45.5
87,E,5,45.5
88,C,5,46.5
89,E,4,47.0
90,D,5,47.0
91,E-,5,47.5
92,E,4,48.0
93,E,4,49.0
94,E-,4,50.0
95,C,4,51.0
96,C#,4,52.0
97,D,4,52.0
98,D,4,53.5
99,C#,4,55.0
100,D,4,55.5
101,C,4,56.0
102,D,4,56.0
103,E,4,57.0
104,E-,4,58.0
105,C,4,59.0
106,C#,4,60.0
107,E,4,60.0
108,E-,4,61.0
109,C#,4,61.5
110,D,4,61.5
111,C,4,63.0
112,C#,4,63.0
113,E,4,64.0
114,E,4,65.0
115,E,4,65.5
116,E-,4,66.0
117,C,4,67.0
118,E,4,67.0
119,C#,4,68.0
120,D,4,68.0
121,D,4,69.5
122,E-,4,69.5
123,D,4,70.5
124,C#,4,71.0
125,E,4,71.0
126,D,4,71.5
127,E-,4,71.5
128,C,4,72.0
129,E-,4,72.0
130,E,4,73.0
131,C,4,73.5
132,C,4,74.0
133,E-,4,74.0
134,C,4,75.0
135,D,4,75.5
136,C,3,76.0
137,D,4,80.0
138,C,4,80.75
139,E,5,81.0
140,C#,4,81.5
141,D,4,82.0
142,E-,5,82.0
143,E-,4,82.75
144,C#,5,83.0
145,E,4,83.5
146,D,4,84.0
147,E,5,84.0
148,E,5,84.5
149,C,4,84.75
150,E,5,85.0
151,C#,4,85.5
152,C,5,85.5
153,D,4,86.0
154,C,5,86.0
155,E,4,86.5
156,C,5,86.5
157,E-,4,86.75
158,D,5,87.0
159,D,4,87.5
160,E,5,87.5
161,D,4,88.0
162,C,4,88.75
163,C#,4,89.5
164,D,4,90.0
165,C,5,90.5
166,E-,4,90.75
167,C#,5,91.0
168,E,4,91.5
169,D,5,91.5
170,D,4,92.0
171,E,4,92.0
172,C,4,92.75
173,C#,4,93.5
174,D,4,93.5
175,D,4,94.0
176,E,4,94.5
177,E-,4,94.75
178,C,4,95.0
179,C#,4,95.5
180,D,4,95.5
181,D,4,96.0
182,C,4,96.75
183,E,5,97.0
184,C#,4,97.5
185,D,4,98.0
186,E-,5,98.0
187,E-,4,98.75
188,C#,5,99.0
189,E,4,99.5
190,D,4,100.0
191,E,5,100.0
192,E,5,100.5
193,C,4,100.75
194,E,5,101.0
195,C#,4,101.5
196,C,5,101.5
197,D,4,102.0
198,C,5,102.0
199,E,4,102.5
200,C,5,102.5
201,E-,4,102.75
202,C,5,103.0
203,D,4,103.5
204,C,5,103.5
205,D,4,104.0
206,C,4,104.75
207,D,5,105.0
208,C#,4,105.5
209,D,5,105.5
210,C#,4,106.0
211,D,5,106.0
212,D,5,106.5
213,E-,4,106.75
